S000, Sua, Sua Ong Tho Do, Thung, 576000, SK0000, 21 12 2020, 21 12 2022, 02 02 2021, 04 02 2022
DC0002, Do chay, Chao Yen Viet, Thung, 240000, DCK0000, 15 02 2021, 15 10 2021, 06 03 2021, 05 04 2021
DU0012, Do uong, Bia Heineken 330ml, Thung, 415000, DUK0001, 25 05 2021, 26 05 2022, 27 05 2021, 01 06 2021
GV004, Gia vi, Dau an kiddy, Thung, 952000, GVK0001, 21 10 2020, 20 10 2021, 10 05 2021, 21 06 2021
GV005, Gia vi, Dau an simply 1 lit, Thung, 516000, GVK0002, 21 10 2020, 20 10 2021, 10 02 2021, 06 03 2021
DH0001, Do hop,	Xuc xich dinh duong heo, Thung, 380000, DHK0000, 10 01 2021, 10 06 2021, 15 01 2021, 11 02 2021
DH0002, Do hop, Xuc xich 3 bong mai, Thung, 200000, DHK0000, 10 01 2021, 12 06 2021, 15 01 2021, 11 02 2021
S0010, Sua,	Vang Sua mixo, Loc, 46000, SK0010, 15 02 2021, 25 02 2021, 20 02 2021, 21 02 2021
S0011, Sua,	Sua Kun cookies 110ml, Thung, 290000, SK0010, 15 02 2021, 28 02 2021, 20 02 2021, 27 02 2021
S0012, Sua,	Sua Dau den Sahmyyok, Thung, 950000, SK0010, 15 02 2021, 28 02 2022, 20 02 2021, 21 02 2021
S0013, Sua,	Ensure Gold 237ml, Thung, 1087000, SK0010, 15 02 2021, 28 11 2021, 20 02 2021, 11 03 2021
S0014, Sua,	Ensure Vani 237ml, Thung, 808000, SK0010, 15 02 2021, 28 08 2021, 20 02 2021, 02 04 2021
S0015, Sua,	Dutch Lady Organio, Thung, 1348000, SK0010, 15 02 2021, 28 08 2021, 20 02 2021, 04 05 2021
S0016, Sua,	Nutifood EnPlus 237ml, Thung, 680000, SK0010, 15 02 2021, 28 08 2021, 20 02 2021, 20 05 2021
DU0010, Do uong, Ice dao, Thung, 168000, DUK0001, 20 04 2021, 20 09 2021, 25 04 2021, 27 05 2021
DU0011, Do uong, Bia SG chai, Thung, 144000, DUK0001, 25 05 2021, 26 05 2022, 27 05 2021, 01 06 2021
DU0012, Do uong, StrongBow 330ml, Thung, 430000, DUK0001, 25 05 2021, 26 11 2021, 27 05 2021, 05 06 2021
DU0013, Do uong, StrongBow 330ml Dau, Thung, 430000, DUK0001, 25 05 2021, 26 11 2021, 27 05 2021, 05 06 2021
DU0014, Do uong, StrongBow 330ml Cam, Thung, 430000, DUK0001, 25 05 2021, 26 11 2021, 27 05 2021, 12 06 2021
DU0015, Do uong, Leffee Blonde 330ml, Thung, 1100000, DUK0001, 25 05 2021, 26 11 2021, 27 05 2021, 20 06 2021
DU0012, Do uong, Nuoc cot dua,	Thung, 516000, DUK0002, 20 05 2021, 01 06 2021, 21 05 2021, 27 05 2021
GV0100, Gia vi,	Bot mi mezan 500g, Thung, 240000, GVK0002, 01 03 2020, 01 03 2021, 20 10 2020, 01 06 2021
DK0000, Do kho, Ca trong kho loai to, Bich, 25000, DKK0001, 01 09 2020, 01 09 2021, 29 03 2021, 20 05 2021
DK0001, Do kho, Ca trong kho loai nho, Bich, 20000, DKK0001, 01 09 2020, 01 09 2021, 29 03 2021, 27 05 2021
TPDL0001, TPDL, Ba roi Heo co suon, Thung, 2190000, TPDL0000, 05 01 2021, 05 07 2021, 12 01 2021, 12 06 2021
TPDL0002, TPDL, Ba chi heo nhap khau, Thung, 4500000, TPDL0000, 05 01 2021, 05 07 2021, 12 01 2021, 09 04 2021
TPDL0003, TPDL, Tim heo Uc, Lo12, 816000, TPDL0000, 05 01 2021, 05 09 2021, 12 01 2021, 11 02 2021
TPDL0004, TPDL, Xuong ong Heo Balan, Lo30, 690000, TPDL0000, 05 01 2021, 05 09 2021, 12 01 2021, 04 05 2021
TPDL0005, TPDL, Cotlet Brasil, Lo30, 2040000, TPDL0000, 05 01 2021, 05 10 2021, 12 01 2021, 20 05 2021
TPDL0006, TPDL, Khoanh bap Olymel, Lo20, 1000000, TPDL0000, 05 01 2021, 05 10 2021, 12 01 2021, 04 05 2021
TPDL0007, TPDL, Khoanh bap, Lo20, 1000000, TPDL0000, 05 01 2021, 05 10 2021, 12 01 2021, 10 05 2021
DH0001, Do hop, Thit vai heo, Lo20, 1400000, TPDL0000, 05 01 2021, 05 7 2021, 06 01 2021, 11 06 2021
